,PAI_id,booking_id,str_id,geom_id,ufi,name,location,local_address,street_address,star_rating,review_score,review_score_text,review_count,amount_per_stay,mean_adr_sar,median_adr_sar,revpar,occupancy_rate,number_of_keys,opened_at,str_class,recently_opened,link,parent_chain,returning_aid_share,mall_visitations_pct,business_park_visitations_pct,footfall_score,footfall_score_domestic,footfall_score_international,ranking,ranking_domestic,ranking_international,volatility,quadrant,distance,has_gym,has_wellness_centre,has_event_halls,has_business_centre,has_restaurant,has_pool
82,91,3235188.0,11731154,3235188,900040280.0,Hyatt Place Riyadh Sulaimania,"Al Sulimania, Riyadh","Turki Ibn Abdullah Al Saud Street, Al Sulaimania District","Turki Ibn Abdullah Al Saud Street, Al Sulaimania District, Al Sulimania, 12234 Riyadh, Saudi Arabia",4.0,8.5,Very good,779,1928.36,560.5264761904762,480.128,329.44,58.77336832296839,88.0,2018,Upscale,,https://www.booking.com/hotel/sa/hyatt-place-riyadh-sulaimania.en-gb.html,Hyatt Hotels Corporation,0.1654929577464789,0.4242957746478873,0.06514084507042253,0.094132930725747,0.08285253690819618,0.1222091656874266,116,138,78,20.73267469926114,Low ADR & High Occupancy,3401.333000000001,1,1,1,1,1,1
86,95,6769543.0,12046787,6769543,900040280.0,Vittori Palace Hotel and Residences,Riyadh,3091 Al Wedian Al Urubah Road king Abdullah Dist,"3091 Al Wedian Al Urubah Road king Abdullah Dist, 12426 Riyadh, Saudi Arabia",5.0,8.1,Very good,4179,1599.47,1221.582341391942,929.8752,594.99,48.70661985989572,184.0,2020,Upper Upscale,,https://www.booking.com/hotel/sa/vittori-palace-riyadh.en-gb.html,,0.1969140337986774,0.2976539589442815,0.05205278592375366,0.1127067167585408,0.1121669777702359,0.0950142689273124,96,93,109,25.55448541066061,High ADR & Low Occupancy,8200.41,1,1,1,1,1,1
88,98,7063972.0,-1,7063972,900040280.0,WAW Hotel Suites King Abdullah District,Riyadh,6405 King Abdullah bin Abdulaziz Rd,"6405 King Abdullah bin Abdulaziz Rd, 11564 Riyadh, Saudi Arabia",4.0,7.9,Good,2006,1519.49,672.7468666666667,632.7552,352.08,52.33506395476947,51.0,2020,,,https://www.booking.com/hotel/sa/waw-suites.en-gb.html,,0.1945945945945946,0.4520917678812414,0.08097165991902834,0.05235068993363997,0.05391990497200068,0.03693134127916736,233,226,280,42.66879315508127,Low ADR & Low Occupancy,5807.989,1,1,1,1,1,1
96,106,1917845.0,20249749,1917845,900040280.0,Al Muhaidb Gharnata - Al Malaz,"Al Malaz, Riyadh","Salaheddin St.,","Salaheddin St.,, Al Malaz, 11461 Riyadh, Saudi Arabia",4.0,6.7,Average,1553,611.8,283.7226666666668,283.1904,125.23,44.13701035715587,99.0,2022,Midscale,,https://www.booking.com/hotel/sa/almuhaidb-gharnatha-60-st.en-gb.html,EWAA Hotels,0.1944444444444444,0.2186836518046709,0.01910828025477707,0.04009690670973631,0.03673850330901069,0.04633204633204633,289,307,228,23.84541747565407,Low ADR & Low Occupancy,4168.268000000002,1,1,0,0,0,0
97,107,10852896.0,-1,10852896,900040280.0,فندق إجازة الخليج,Riyadh,Shaikh Abdullah Al Makhdub Street,"Shaikh Abdullah Al Makhdub Street, 13314 Riyadh, Saudi Arabia",4.0,8.3,Very good,457,779.74,491.7892189996359,414.3936,282.12,57.36589051049855,70.0,2016,,,https://www.booking.com/hotel/sa/fndq-jz-lkhlyj.en-gb.html,,0.1663865546218487,0.3361344537815126,0.03445378151260504,0.0850391489062884,0.08395554047174615,0.0743662917575961,141,135,146,16.87528167334743,Low ADR & High Occupancy,2624.418,1,1,1,1,1,1
98,108,2399724.0,11627918,2399724,900040280.0,Centro Waha by Rotana,Riyadh,"Olaya Street, Al Murooj District","Olaya Street, Al Murooj District, 11616 Riyadh, Saudi Arabia",4.0,7.9,Good,2638,1883.82,812.2617008895868,626.0608,482.91,59.45291339401501,290.0,2017,Upper Midscale,,https://www.booking.com/hotel/sa/centro-waha.en-gb.html,Rotana Hotel Management Corporation,0.1780678851174935,0.3957735455256979,0.09548656404904773,0.3191601418489519,0.2947140675377567,0.3597448380057076,22,22,13,15.38708615030902,Low ADR & High Occupancy,1773.465,1,1,1,1,1,1
104,114,9600510.0,-1,9600510,900040280.0,Imperial Hotel Riyadh,"Al Hamra, Riyadh",Al Masani Street,"Al Masani Street, Al Hamra, 13217 Riyadh, Saudi Arabia",4.0,8.0,Very good,167,799.73,293.61664,317.4016,96.1,32.73028590755327,85.0,2012,,,https://www.booking.com/hotel/sa/imperial.en-gb.html,,0.195364238410596,0.2251655629139073,0.01655629139072848,0.02485867771496787,0.02536908196164941,0.01846567063958368,379,370,381,24.10146052095668,Low ADR & Low Occupancy,6960.000999999999,0,0,0,0,0,0
105,115,187743.0,11720297,187743,900040280.0,"Holiday Inn Riyadh Al Qasr, an IHG Hotel","Al Olaya, Riyadh",Olaya Main Road,"Olaya Main Road, Al Olaya, Riyadh, Saudi Arabia",4.0,7.2,Good,1381,1618.66,533.1989150168351,453.552,329.17,61.73430819593906,203.0,2007,Upper Midscale,,https://www.booking.com/hotel/sa/holiday-inn-riyadh-al-qasr.en-gb.html,IHG Hotels & Resorts,0.1827887415076027,0.3366720516962843,0.05008077544426495,0.2444436641971841,0.2316307483454947,0.2521403390968608,33,37,26,20.4110136563358,Low ADR & High Occupancy,3221.503,1,1,1,1,1,1
108,118,3214525.0,11633407,3214525,900040280.0,Makeen Homes by Warwick Hotel,Riyadh,Taif Street Dhahrat Laban,"Taif Street Dhahrat Laban, 11323 Riyadh, Saudi Arabia",4.0,7.4,Good,687,584.81,456.3423333333334,433.6666,323.19,70.82237197993081,60.0,2018,Upper Upscale,,https://www.booking.com/hotel/sa/makeen-homes-by-warwick-riyadh.en-gb.html,Warwick Hotels and Resorts,0.1501925545571245,0.9942344650864832,0.03715566944266496,0.09701204311646361,0.09748854573222468,0.07805942588551285,113,109,141,25.17638370957447,Low ADR & High Occupancy,17481.55700000001,1,1,1,1,1,0
111,121,8021744.0,-1,8021744,900040280.0,Celine Home Serviced apartment -Tuwaiq,Riyadh,Ahmad Ibn Alkhattab 3,"Ahmad Ibn Alkhattab 3, 14929 Riyadh, Saudi Arabia",4.0,8.3,Very good,636,1079.64,391.4423466666668,280.1856,154.41,39.44575659252413,53.0,2023,,,https://www.booking.com/hotel/sa/sylyn-hwm-llshqq-lfndqy-twyq.en-gb.html,,0.2798833819241983,0.2332361516034985,0.02332361516034986,0.02882623503388224,0.03088409977939929,0.01561188517710257,353,335,402,31.08641081928086,Low ADR & Low Occupancy,26436.931,0,0,0,1,0,0
